[2025-04-11 21:14:26] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-11 21:14:31] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-11 21:14:34] gaurava.ipn | 127.0.0.1 | Page Access | ils.php | success
[2025-04-11 21:14:40] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-11 21:14:45] gaurava.ipn | 127.0.0.1 | Page Access | quest.php | success
[2025-04-11 21:14:55] gaurava.ipn | 127.0.0.1 | Page Access | quest.php | success
[2025-04-11 21:15:00] gaurava.ipn | 127.0.0.1 | Page Access | analytics.php | success
[2025-04-11 21:15:03] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-11 21:15:16] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-11 21:15:19] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-11 21:15:29] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-11 21:16:54] gaurava.ipn | 127.0.0.1 | Page Access | quest.php | success
[2025-04-11 21:16:55] gaurava.ipn | 127.0.0.1 | Page Access | analytics.php | success
[2025-04-11 21:16:56] gaurava.ipn | 127.0.0.1 | Logout | User logged out | success
