[2025-04-12 08:47:45] gaurava.ipn | 127.0.0.1 | Login | Successful login | success
[2025-04-12 08:47:45] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:48:05] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:48:22] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:48:46] gaurava.ipn | 127.0.0.1 | Page Access | yuva.php | success
[2025-04-12 08:49:32] gaurava.ipn | 127.0.0.1 | Page Access | yuva.php | success
[2025-04-12 08:49:38] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:49:54] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:50:00] gaurava.ipn | 127.0.0.1 | Page Access | leaderssummit.php | success
[2025-04-12 08:50:03] gaurava.ipn | 127.0.0.1 | Page Access | analytics.php | success
[2025-04-12 08:50:17] gaurava.ipn | 127.0.0.1 | Page Access | analytics.php | success
[2025-04-12 08:50:24] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:50:38] gaurava.ipn | 127.0.0.1 | Page Access | conclaves.php | success
[2025-04-12 08:50:45] gaurava.ipn | 127.0.0.1 | Page Access | yuva.php | success
[2025-04-12 08:50:51] gaurava.ipn | 127.0.0.1 | Page Access | misb.php | success
[2025-04-12 08:51:01] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:51:44] gaurava.ipn | 127.0.0.1 | Page Access | misb.php | success
[2025-04-12 08:52:38] gaurava.ipn | 127.0.0.1 | Page Access | misb.php | success
[2025-04-12 08:52:40] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:53:34] gaurava.ipn | 127.0.0.1 | Page Access | conclaves.php | success
[2025-04-12 08:53:37] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:54:30] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-12 08:54:35] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-12 08:54:41] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-12 08:54:56] gaurava.ipn | 127.0.0.1 | Page Access | logs.php | success
[2025-04-12 08:54:57] gaurava.ipn | 127.0.0.1 | Page Access | dashboard.php | success
[2025-04-12 08:55:13] gaurava.ipn | 127.0.0.1 | Page Access | conclaves.php | success
[2025-04-12 08:55:19] gaurava.ipn | 127.0.0.1 | Page Access | ils.php | success
[2025-04-12 08:55:52] gaurava.ipn | 127.0.0.1 | Page Access | ils.php | success
[2025-04-12 08:55:59] gaurava.ipn | 127.0.0.1 | Page Access | ils.php | success
[2025-04-12 08:56:13] gaurava.ipn | 127.0.0.1 | Page Access | ils.php | success
[2025-04-12 08:56:38] gaurava.ipn | 127.0.0.1 | Page Access | ils.php | success
